default,fico,dti,accts_open_past_24mths,accts_open_past_12mths,bc_credit_util,inq_past_6mths,num_bankruptcies,num_delinq_past_24mths,num_mnths_rcnt_acct,num_mort_accts,total_num_accts,total_num_open_accts
0,687.0,30.46,5.0,2.0,69.4,1.0,0.0,0.0,8.0,0.0,20.0,10.0
0,702.0,7.64,6.0,3.0,54.6,1.0,0.0,3.0,2.0,5.0,29.0,14.0
1,692.0,23.0,12.0,10.0,31.5,3.0,0.0,1.0,3.0,1.0,48.0,16.0
0,677.0,14.2,7.0,2.0,72.4,1.0,0.0,1.0,6.0,1.0,25.0,10.0
1,682.0,36.22,11.0,4.0,57.4,1.0,0.0,0.0,2.0,0.0,44.0,26.0
0,702.0,27.32,4.0,2.0,97.7,0.0,0.0,0.0,5.0,2.0,26.0,9.0
0,777.0,14.43,6.0,5.0,23.2,1.0,0.0,0.0,4.0,1.0,45.0,21.0
0,712.0,18.04,1.0,1.0,42.8,0.0,0.0,0.0,12.0,3.0,25.0,13.0
1,667.0,33.26,7.0,1.0,97.8,0.0,0.0,0.0,11.0,0.0,27.0,18.0
0,697.0,18.43,5.0,0.0,68.7,0.0,0.0,0.0,13.0,0.0,15.0,15.0
0,717.0,32.65,2.0,0.0,97.9,0.0,0.0,0.0,19.0,2.0,20.0,11.0
0,677.0,15.35,2.0,2.0,73.5,0.0,0.0,4.0,5.0,2.0,19.0,7.0
0,702.0,37.86,3.0,1.0,97.2,0.0,0.0,0.0,5.0,0.0,23.0,11.0
0,672.0,12.82,3.0,0.0,31.8,0.0,0.0,1.0,17.0,2.0,15.0,6.0
0,687.0,24.64,8.0,6.0,63.1,0.0,0.0,0.0,4.0,0.0,23.0,16.0
0,712.0,24.22,6.0,4.0,99.5,0.0,0.0,0.0,5.0,2.0,57.0,14.0
0,687.0,34.69,8.0,3.0,85.4,0.0,0.0,0.0,6.0,0.0,46.0,24.0
0,692.0,9.21,3.0,2.0,62.0,0.0,0.0,0.0,10.0,2.0,16.0,8.0
0,687.0,9.16,5.0,2.0,50.6,0.0,0.0,1.0,10.0,5.0,22.0,8.0
1,707.0,5.43,1.0,0.0,81.8,0.0,0.0,2.0,16.0,5.0,27.0,9.0
1,672.0,31.84,9.0,3.0,80.4,4.0,0.0,0.0,2.0,2.0,48.0,18.0
1,722.0,13.22,4.0,2.0,47.2,0.0,0.0,0.0,7.0,5.0,31.0,8.0
0,757.0,17.28,8.0,4.0,90.9,0.0,0.0,0.0,5.0,5.0,26.0,9.0
0,672.0,30.39,8.0,1.0,90.5,0.0,0.0,0.0,12.0,4.0,46.0,26.0
0,692.0,26.16,4.0,1.0,69.4,0.0,0.0,1.0,8.0,0.0,25.0,11.0
0,737.0,19.51,6.0,1.0,89.7,1.0,0.0,0.0,12.0,4.0,21.0,7.0
0,697.0,24.06,0.0,0.0,58.5,0.0,0.0,1.0,28.0,0.0,17.0,10.0
0,667.0,11.25,4.0,2.0,95.0,0.0,1.0,0.0,3.0,0.0,8.0,5.0
0,732.0,15.39,3.0,3.0,26.5,0.0,0.0,1.0,1.0,2.0,22.0,7.0
1,677.0,18.58,9.0,4.0,79.6,0.0,0.0,0.0,9.0,0.0,27.0,10.0
1,667.0,8.52,1.0,0.0,79.0,0.0,0.0,0.0,20.0,0.0,17.0,8.0
1,687.0,4.86,6.0,4.0,50.7,0.0,0.0,1.0,3.0,0.0,30.0,13.0
1,752.0,34.73,7.0,3.0,31.1,1.0,0.0,0.0,2.0,0.0,48.0,30.0
0,672.0,9.07,4.0,1.0,66.4,0.0,0.0,0.0,10.0,0.0,12.0,8.0
1,672.0,15.75,5.0,4.0,73.6,0.0,2.0,0.0,2.0,3.0,33.0,17.0
0,672.0,13.71,0.0,0.0,99.7,0.0,0.0,0.0,42.0,0.0,10.0,6.0
0,777.0,18.48,0.0,0.0,55.0,0.0,0.0,0.0,25.0,1.0,26.0,18.0
1,687.0,30.21,10.0,2.0,73.9,0.0,0.0,0.0,7.0,3.0,39.0,26.0
1,702.0,19.93,4.0,3.0,47.9,4.0,0.0,0.0,1.0,0.0,26.0,14.0
0,682.0,23.56,1.0,1.0,95.6,0.0,0.0,0.0,7.0,3.0,27.0,10.0
0,677.0,7.54,9.0,8.0,90.9,0.0,0.0,0.0,1.0,5.0,23.0,9.0
0,722.0,16.42,5.0,3.0,67.8,1.0,0.0,1.0,9.0,3.0,21.0,10.0
1,672.0,19.91,2.0,1.0,81.4,0.0,0.0,2.0,3.0,3.0,24.0,8.0
0,682.0,8.41,1.0,0.0,98.7,0.0,0.0,0.0,16.0,5.0,27.0,9.0
0,742.0,19.82,12.0,3.0,37.4,5.0,0.0,0.0,5.0,3.0,45.0,24.0
0,732.0,11.04,2.0,1.0,21.9,0.0,0.0,0.0,10.0,0.0,25.0,20.0
0,687.0,24.82,3.0,2.0,68.2,2.0,0.0,0.0,4.0,1.0,21.0,8.0
1,672.0,23.85,5.0,4.0,87.5,0.0,0.0,1.0,4.0,4.0,17.0,7.0
0,757.0,21.3,1.0,1.0,47.4,0.0,0.0,0.0,5.0,3.0,12.0,7.0
0,737.0,13.87,1.0,0.0,92.3,1.0,0.0,0.0,22.0,2.0,23.0,8.0
0,697.0,24.89,3.0,3.0,97.0,0.0,0.0,0.0,7.0,2.0,16.0,7.0
0,712.0,14.22,4.0,1.0,39.0,0.0,0.0,0.0,10.0,4.0,33.0,16.0
0,712.0,13.6,1.0,0.0,49.7,0.0,0.0,0.0,22.0,0.0,18.0,11.0
0,667.0,15.82,7.0,0.0,101.0,0.0,0.0,0.0,18.0,3.0,28.0,11.0
0,687.0,23.15,6.0,3.0,69.2,0.0,0.0,0.0,8.0,2.0,20.0,10.0
0,732.0,16.33,8.0,3.0,41.6,1.0,0.0,0.0,6.0,4.0,32.0,14.0
0,697.0,16.48,2.0,1.0,64.2,0.0,0.0,0.0,2.0,2.0,11.0,7.0
0,712.0,25.61,3.0,3.0,66.3,0.0,0.0,0.0,8.0,0.0,28.0,10.0
0,707.0,28.4,2.0,0.0,87.8,0.0,0.0,0.0,18.0,3.0,37.0,16.0
0,692.0,28.31,2.0,0.0,83.5,0.0,0.0,0.0,23.0,0.0,25.0,16.0
1,687.0,31.85,3.0,1.0,66.8,0.0,0.0,0.0,3.0,0.0,29.0,19.0
0,667.0,19.33,7.0,3.0,91.4,0.0,0.0,0.0,9.0,1.0,18.0,6.0
0,667.0,21.5,8.0,3.0,101.3,0.0,1.0,0.0,3.0,3.0,22.0,10.0
0,687.0,19.28,3.0,0.0,63.0,0.0,0.0,0.0,17.0,3.0,37.0,27.0
0,662.0,8.07,1.0,1.0,34.8,1.0,1.0,0.0,10.0,1.0,13.0,4.0
0,707.0,19.3,2.0,2.0,86.8,1.0,0.0,0.0,12.0,5.0,29.0,12.0
0,667.0,21.06,1.0,0.0,100.3,0.0,0.0,1.0,19.0,1.0,19.0,11.0
0,722.0,22.5,5.0,2.0,59.5,0.0,0.0,0.0,2.0,4.0,22.0,11.0
0,692.0,9.95,4.0,2.0,12.6,0.0,0.0,1.0,1.0,0.0,9.0,6.0
0,787.0,34.85,4.0,2.0,20.8,1.0,0.0,0.0,1.0,3.0,27.0,18.0
0,692.0,20.04,6.0,2.0,96.6,0.0,0.0,0.0,10.0,0.0,9.0,8.0
1,727.0,20.27,1.0,1.0,40.6,0.0,0.0,0.0,12.0,2.0,22.0,17.0
0,667.0,27.02,3.0,3.0,96.7,1.0,0.0,2.0,5.0,4.0,23.0,12.0
0,672.0,27.27,5.0,2.0,91.4,0.0,0.0,0.0,2.0,4.0,32.0,11.0
1,677.0,28.29,6.0,2.0,74.3,0.0,0.0,0.0,10.0,3.0,26.0,15.0
0,727.0,7.16,1.0,1.0,65.5,1.0,0.0,1.0,2.0,5.0,30.0,13.0
0,737.0,5.18,8.0,6.0,24.9,1.0,0.0,0.0,3.0,2.0,26.0,11.0
0,812.0,1.57,3.0,2.0,7.1,0.0,0.0,0.0,9.0,4.0,21.0,10.0
0,677.0,35.31,7.0,4.0,71.1,1.0,1.0,0.0,3.0,0.0,43.0,17.0
0,682.0,10.64,5.0,2.0,78.7,1.0,0.0,0.0,6.0,1.0,53.0,26.0
0,707.0,38.39,6.0,4.0,41.7,0.0,0.0,0.0,7.0,4.0,40.0,18.0
0,672.0,22.6,3.0,1.0,92.7,1.0,0.0,2.0,2.0,1.0,24.0,13.0
0,662.0,22.65,9.0,2.0,81.3,0.0,0.0,0.0,3.0,2.0,35.0,24.0
1,687.0,22.59,1.0,0.0,95.6,0.0,0.0,1.0,20.0,1.0,16.0,7.0
1,702.0,38.57,3.0,3.0,97.0,2.0,0.0,0.0,1.0,0.0,47.0,19.0
0,717.0,19.92,5.0,2.0,40.9,1.0,0.0,0.0,6.0,1.0,38.0,19.0
1,672.0,19.94,4.0,3.0,93.1,0.0,1.0,0.0,7.0,2.0,41.0,11.0
0,702.0,14.66,5.0,1.0,47.3,1.0,0.0,0.0,5.0,5.0,31.0,12.0
0,692.0,20.8,7.0,0.0,25.5,0.0,0.0,0.0,13.0,1.0,16.0,8.0
0,662.0,16.35,3.0,0.0,76.6,0.0,0.0,0.0,15.0,1.0,7.0,7.0
0,677.0,9.45,0.0,0.0,72.5,1.0,0.0,1.0,32.0,1.0,22.0,14.0
1,667.0,11.15,2.0,1.0,36.8,0.0,1.0,0.0,8.0,4.0,23.0,5.0
0,672.0,29.98,10.0,2.0,53.0,0.0,0.0,0.0,5.0,0.0,29.0,26.0
0,747.0,5.97,5.0,2.0,29.9,0.0,0.0,0.0,1.0,3.0,47.0,10.0
0,707.0,15.97,5.0,0.0,29.0,1.0,0.0,0.0,17.0,4.0,30.0,16.0
1,667.0,21.97,6.0,3.0,85.7,2.0,0.0,1.0,2.0,1.0,46.0,26.0
1,687.0,21.49,4.0,2.0,41.7,1.0,0.0,0.0,2.0,0.0,38.0,15.0
0,727.0,37.93,7.0,3.0,44.8,0.0,0.0,0.0,1.0,3.0,41.0,11.0
1,667.0,32.24,6.0,4.0,97.0,1.0,0.0,1.0,7.0,0.0,20.0,9.0
0,702.0,39.48,5.0,3.0,69.7,0.0,0.0,2.0,6.0,0.0,43.0,28.0
0,662.0,12.63,5.0,4.0,12.7,2.0,1.0,1.0,3.0,4.0,34.0,7.0
1,672.0,30.55,4.0,2.0,87.9,0.0,0.0,3.0,2.0,3.0,22.0,9.0
0,687.0,30.0,6.0,4.0,63.5,0.0,0.0,0.0,6.0,4.0,43.0,19.0
0,672.0,18.33,7.0,1.0,85.6,0.0,0.0,0.0,3.0,2.0,21.0,13.0
1,717.0,29.75,7.0,3.0,96.3,0.0,1.0,0.0,1.0,2.0,43.0,22.0
1,697.0,10.86,9.0,3.0,82.3,0.0,0.0,0.0,7.0,0.0,37.0,14.0
0,707.0,20.92,2.0,0.0,71.3,0.0,0.0,0.0,18.0,0.0,21.0,15.0
0,677.0,35.76,3.0,2.0,58.3,1.0,0.0,1.0,7.0,0.0,25.0,14.0
0,742.0,27.44,3.0,0.0,66.4,0.0,0.0,0.0,14.0,2.0,31.0,9.0
0,662.0,3.28,2.0,1.0,97.0,0.0,0.0,0.0,6.0,5.0,25.0,5.0
1,697.0,11.98,9.0,5.0,40.0,2.0,1.0,0.0,3.0,2.0,29.0,15.0
1,687.0,32.46,6.0,4.0,96.6,0.0,0.0,0.0,5.0,5.0,38.0,17.0
1,667.0,5.83,9.0,3.0,65.7,0.0,0.0,0.0,1.0,0.0,33.0,19.0
0,702.0,24.8,7.0,3.0,64.7,2.0,0.0,2.0,2.0,3.0,20.0,12.0
0,682.0,2.54,5.0,4.0,31.1,1.0,0.0,0.0,2.0,0.0,18.0,6.0
0,717.0,31.76,3.0,0.0,98.6,1.0,0.0,0.0,18.0,4.0,18.0,9.0
1,677.0,8.66,2.0,1.0,97.5,0.0,0.0,0.0,8.0,2.0,16.0,6.0
0,722.0,15.82,3.0,2.0,96.6,0.0,0.0,0.0,8.0,5.0,36.0,10.0
1,667.0,1.94,3.0,1.0,39.1,2.0,2.0,0.0,6.0,0.0,14.0,8.0
1,677.0,26.78,4.0,2.0,0.0,1.0,1.0,0.0,5.0,5.0,40.0,12.0
0,777.0,15.08,9.0,5.0,27.3,1.0,0.0,0.0,5.0,2.0,48.0,25.0
1,697.0,36.01,10.0,2.0,74.9,1.0,0.0,0.0,6.0,0.0,29.0,15.0
0,712.0,19.14,4.0,2.0,94.8,0.0,0.0,0.0,3.0,2.0,26.0,12.0
0,682.0,14.49,5.0,3.0,74.8,0.0,0.0,1.0,1.0,2.0,14.0,9.0
0,727.0,15.35,0.0,0.0,91.8,0.0,0.0,1.0,27.0,4.0,15.0,5.0
1,677.0,17.04,3.0,2.0,97.2,0.0,0.0,0.0,9.0,5.0,38.0,12.0
1,682.0,8.54,6.0,3.0,90.3,0.0,0.0,0.0,4.0,5.0,39.0,9.0
0,672.0,20.42,7.0,3.0,88.5,2.0,0.0,0.0,3.0,2.0,34.0,15.0
0,662.0,14.09,7.0,3.0,20.5,3.0,1.0,0.0,2.0,4.0,25.0,11.0
1,662.0,16.77,5.0,5.0,75.7,0.0,0.0,0.0,1.0,0.0,19.0,13.0
0,682.0,30.8,3.0,2.0,96.9,0.0,0.0,0.0,5.0,2.0,23.0,14.0
0,742.0,2.7,9.0,4.0,12.6,1.0,0.0,0.0,3.0,1.0,13.0,9.0
0,682.0,20.19,4.0,1.0,55.1,0.0,0.0,1.0,11.0,1.0,37.0,23.0
0,667.0,9.04,10.0,4.0,11.1,0.0,1.0,0.0,9.0,4.0,35.0,12.0
0,787.0,28.98,5.0,4.0,31.1,0.0,0.0,0.0,2.0,0.0,26.0,13.0
1,702.0,24.56,3.0,2.0,82.8,0.0,0.0,0.0,3.0,4.0,20.0,10.0
1,692.0,38.09,1.0,1.0,87.0,0.0,0.0,0.0,5.0,3.0,27.0,15.0
0,692.0,8.8,0.0,0.0,75.8,0.0,0.0,0.0,25.0,1.0,12.0,5.0
1,697.0,19.18,5.0,2.0,35.4,0.0,0.0,1.0,3.0,1.0,14.0,12.0
1,667.0,13.98,18.0,5.0,91.0,3.0,0.0,4.0,4.0,5.0,48.0,22.0
0,712.0,31.92,5.0,3.0,77.6,0.0,0.0,0.0,3.0,1.0,21.0,13.0
1,747.0,14.52,8.0,4.0,34.2,0.0,0.0,0.0,9.0,4.0,27.0,9.0
0,707.0,17.71,1.0,1.0,92.5,1.0,0.0,0.0,4.0,4.0,19.0,6.0
0,672.0,8.61,6.0,2.0,30.9,1.0,1.0,0.0,3.0,2.0,27.0,9.0
0,692.0,23.96,5.0,0.0,96.0,0.0,0.0,0.0,14.0,0.0,21.0,12.0
0,727.0,10.51,3.0,0.0,5.4,1.0,0.0,0.0,16.0,0.0,21.0,12.0
0,767.0,11.7,3.0,1.0,34.4,0.0,0.0,0.0,12.0,4.0,51.0,19.0
0,762.0,18.6,3.0,2.0,77.4,0.0,0.0,0.0,10.0,5.0,39.0,11.0
0,692.0,15.72,11.0,9.0,26.9,1.0,0.0,0.0,1.0,3.0,29.0,23.0
0,667.0,9.85,2.0,1.0,107.9,0.0,0.0,0.0,9.0,1.0,18.0,7.0
0,722.0,25.0,8.0,3.0,52.4,1.0,0.0,0.0,0.0,2.0,19.0,15.0
0,662.0,17.05,0.0,0.0,49.9,0.0,0.0,0.0,43.0,1.0,8.0,7.0
0,687.0,20.91,3.0,2.0,77.8,0.0,0.0,1.0,5.0,3.0,26.0,10.0
0,712.0,11.94,5.0,2.0,41.0,0.0,0.0,1.0,8.0,3.0,19.0,6.0
0,707.0,8.89,1.0,0.0,89.3,0.0,0.0,0.0,13.0,1.0,15.0,3.0
0,742.0,33.69,3.0,2.0,19.7,0.0,0.0,0.0,11.0,1.0,18.0,14.0
1,687.0,24.69,5.0,4.0,36.1,0.0,0.0,2.0,2.0,1.0,44.0,15.0
1,712.0,21.4,4.0,2.0,82.7,0.0,0.0,0.0,8.0,0.0,18.0,10.0
0,692.0,34.97,5.0,2.0,90.8,1.0,0.0,0.0,3.0,2.0,20.0,11.0
0,667.0,18.29,8.0,7.0,89.1,1.0,0.0,0.0,1.0,1.0,19.0,13.0
0,677.0,20.04,2.0,2.0,94.9,2.0,0.0,1.0,1.0,2.0,14.0,9.0
0,722.0,11.89,2.0,0.0,79.3,0.0,0.0,0.0,21.0,2.0,18.0,10.0
0,782.0,25.99,9.0,4.0,27.9,0.0,0.0,0.0,4.0,4.0,53.0,30.0
0,692.0,18.95,9.0,6.0,33.5,2.0,0.0,0.0,2.0,5.0,62.0,14.0
0,677.0,17.97,4.0,1.0,71.7,0.0,0.0,0.0,1.0,2.0,44.0,15.0
0,672.0,28.49,4.0,2.0,98.3,1.0,0.0,0.0,5.0,2.0,21.0,15.0
0,697.0,19.68,6.0,3.0,62.3,0.0,0.0,0.0,7.0,1.0,34.0,20.0
0,707.0,34.31,5.0,2.0,23.1,0.0,1.0,0.0,5.0,0.0,27.0,21.0
0,707.0,32.76,7.0,2.0,90.8,0.0,0.0,0.0,9.0,0.0,19.0,15.0
0,677.0,7.92,6.0,3.0,38.8,1.0,0.0,0.0,3.0,2.0,37.0,19.0
1,707.0,20.62,8.0,7.0,33.8,0.0,0.0,0.0,5.0,0.0,34.0,14.0
1,662.0,17.1,6.0,1.0,48.6,0.0,0.0,0.0,10.0,0.0,25.0,7.0
0,692.0,4.3,7.0,1.0,97.5,0.0,0.0,0.0,2.0,1.0,24.0,10.0
1,682.0,13.22,7.0,4.0,88.1,1.0,0.0,0.0,3.0,0.0,9.0,8.0
1,712.0,29.4,6.0,3.0,100.0,1.0,0.0,0.0,3.0,5.0,34.0,11.0
0,672.0,16.56,8.0,3.0,63.0,0.0,0.0,0.0,7.0,2.0,30.0,13.0
0,727.0,11.07,5.0,1.0,84.2,0.0,0.0,0.0,6.0,3.0,21.0,8.0
1,707.0,27.38,6.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,34.0,11.0
0,732.0,22.5,9.0,3.0,89.6,1.0,0.0,0.0,8.0,3.0,27.0,11.0
1,667.0,28.16,7.0,2.0,99.3,0.0,0.0,1.0,7.0,2.0,27.0,9.0
0,697.0,17.54,5.0,4.0,34.3,0.0,0.0,0.0,3.0,1.0,24.0,13.0
0,702.0,5.81,4.0,2.0,46.7,0.0,0.0,0.0,4.0,3.0,20.0,8.0
0,712.0,32.91,4.0,2.0,97.3,0.0,0.0,0.0,10.0,0.0,22.0,9.0
0,672.0,21.92,6.0,4.0,91.9,0.0,0.0,1.0,7.0,5.0,29.0,8.0
1,687.0,25.79,8.0,4.0,94.4,0.0,0.0,0.0,7.0,1.0,37.0,7.0
0,687.0,11.75,1.0,0.0,54.3,0.0,0.0,1.0,23.0,0.0,18.0,4.0
1,662.0,28.25,8.0,4.0,70.4,0.0,0.0,1.0,8.0,1.0,28.0,13.0
0,687.0,11.45,3.0,2.0,13.2,0.0,0.0,1.0,3.0,3.0,41.0,22.0
0,802.0,0.13,1.0,1.0,0.1,0.0,0.0,0.0,2.0,1.0,8.0,5.0
0,707.0,9.81,8.0,4.0,55.8,1.0,0.0,0.0,3.0,1.0,22.0,10.0
1,707.0,7.46,5.0,2.0,5.1,1.0,0.0,0.0,1.0,0.0,20.0,9.0
0,732.0,14.73,5.0,4.0,50.2,1.0,0.0,0.0,1.0,4.0,28.0,14.0
1,667.0,7.86,4.0,1.0,55.5,1.0,0.0,0.0,7.0,2.0,23.0,7.0
1,667.0,23.68,9.0,4.0,71.9,2.0,0.0,0.0,2.0,0.0,23.0,14.0
0,717.0,36.59,3.0,2.0,87.9,0.0,0.0,0.0,9.0,2.0,30.0,14.0
0,682.0,35.15,4.0,2.0,71.1,0.0,0.0,0.0,1.0,0.0,19.0,12.0
1,717.0,18.24,3.0,3.0,51.1,0.0,0.0,0.0,6.0,2.0,21.0,8.0
0,692.0,24.22,5.0,1.0,73.5,0.0,0.0,0.0,11.0,2.0,42.0,31.0
0,702.0,20.63,7.0,2.0,29.8,1.0,0.0,1.0,4.0,0.0,16.0,13.0
1,792.0,9.33,4.0,2.0,38.4,0.0,0.0,0.0,12.0,1.0,28.0,19.0
1,672.0,29.21,5.0,3.0,85.8,0.0,0.0,0.0,7.0,4.0,33.0,15.0
1,672.0,29.61,8.0,2.0,15.0,0.0,0.0,0.0,8.0,2.0,35.0,14.0
0,682.0,17.23,2.0,1.0,93.0,1.0,0.0,0.0,5.0,3.0,22.0,8.0
0,687.0,33.93,4.0,4.0,99.6,0.0,0.0,1.0,7.0,2.0,40.0,15.0
1,697.0,25.67,8.0,3.0,90.0,1.0,0.0,0.0,2.0,2.0,32.0,20.0
0,677.0,23.1,1.0,1.0,98.5,0.0,0.0,0.0,2.0,0.0,10.0,6.0
0,672.0,14.89,10.0,6.0,64.2,0.0,0.0,0.0,9.0,2.0,28.0,16.0
0,702.0,4.13,2.0,1.0,78.7,0.0,0.0,0.0,1.0,1.0,7.0,3.0
0,707.0,26.09,7.0,3.0,73.2,0.0,0.0,0.0,3.0,1.0,25.0,16.0
0,672.0,23.71,4.0,1.0,74.7,0.0,0.0,0.0,5.0,0.0,31.0,7.0
0,687.0,12.91,4.0,2.0,91.1,1.0,0.0,1.0,2.0,4.0,22.0,11.0
1,672.0,27.36,1.0,1.0,65.8,1.0,0.0,0.0,7.0,1.0,58.0,35.0
1,672.0,15.14,4.0,2.0,83.6,1.0,0.0,4.0,3.0,3.0,51.0,17.0
1,672.0,23.13,3.0,1.0,81.8,0.0,0.0,0.0,4.0,0.0,28.0,21.0
0,737.0,32.55,3.0,1.0,97.3,0.0,0.0,0.0,7.0,5.0,36.0,16.0
0,697.0,34.33,2.0,1.0,95.4,0.0,0.0,0.0,6.0,0.0,35.0,15.0
0,697.0,7.87,3.0,0.0,28.6,2.0,0.0,1.0,13.0,5.0,19.0,9.0
1,682.0,19.86,8.0,4.0,43.7,3.0,0.0,0.0,4.0,0.0,12.0,9.0
0,717.0,21.43,4.0,1.0,39.2,0.0,0.0,0.0,11.0,0.0,28.0,13.0
0,787.0,10.35,1.0,1.0,22.7,0.0,0.0,0.0,9.0,0.0,12.0,9.0
0,662.0,25.9,2.0,1.0,81.2,0.0,1.0,0.0,7.0,3.0,21.0,13.0
0,717.0,10.59,14.0,4.0,38.6,0.0,0.0,0.0,3.0,3.0,38.0,23.0
0,662.0,15.56,3.0,1.0,82.2,0.0,0.0,0.0,3.0,0.0,7.0,6.0
1,692.0,35.41,5.0,0.0,93.0,0.0,0.0,1.0,16.0,3.0,37.0,14.0
1,697.0,28.83,9.0,5.0,67.4,2.0,0.0,4.0,2.0,0.0,59.0,16.0
1,687.0,9.37,5.0,1.0,66.7,0.0,0.0,1.0,3.0,2.0,30.0,7.0
0,722.0,17.04,5.0,2.0,38.8,0.0,0.0,1.0,3.0,3.0,37.0,10.0
0,672.0,10.99,8.0,5.0,82.0,2.0,1.0,0.0,3.0,1.0,11.0,7.0
1,722.0,19.65,6.0,3.0,15.9,2.0,0.0,1.0,5.0,2.0,26.0,10.0
